word,score
indoctrinates,-2
anguished,-3
interesting,2
appreciates,2
jackass,-4
averted,-1
lagged,-2
beaten,-2
longing,-1
blessing,3
maddening,-3
cancelled,-1
misunderstands,-2
celebrating,3
motherfucking,-5
coerced,-2
offended,-2
commit,1
outstanding,5
crash,-2
picturesque,2
contagion,-2
pensive,-1
crime,-3
polluted,-2
curious,1
praises,3
defender,2
prosecution,-1
brisk,2
mischiefs,-1
incensed,-2
affection,3
alienation,-2
innovates,1
apologize,-1
intimidation,-2
astound,3
joyous,3
bad,-3
lethargy,-2
betrayal,-3
lost,-3
bore,-2
meditative,1
cherish,2
natural,1
choked,-2
nonsense,-2
condemned,-2
pained,-2
dead,-3
prisoner,-2
hopelessness,-2
hoping,2
hurrah,5
hurting,-2
wooo,4
worry,-3
agonises,-3
indoctrinate,-2
annoyed,-2
insulting,-2
apprehensive,-2
isolated,-1
avoid,-1
lags,-2
beautifully,3
loathed,-3
blocking,-1
madly,-3
capable,1
moan,-2
certain,1
motivated,2
collapses,-2
oppressed,-2
committed,1
overload,-1
courageous,2
pique,-2
contempt,-2
perfected,2
crisis,-3
possessive,-2
defer,-1
propaganda,-2
bullied,-2
misery,-2
wreck,-2
disappointing,-2
allow,1
injustice,-2
apologises,-1
intimidates,-2
astounded,3
joyfully,3
bailout,-2
liked,2
bias,-1
love,3
boycotted,-2
menace,-2
cheaters,-3
needy,-2
clarifies,2
obliterated,-2
confident,2
panicked,-3
cuts,-1
pretend,-1
dearly,3
promised,1
welcome,2
warning,-3
won,3
whore,-4
illegal,-3
imposed,-1
alarm,-2
anti,-1
applause,2
audacious,3
benefitted,2
boosting,1
celebrated,3
chastised,-3
comforts,2
conciliating,2
cool,1
crestfallen,-2
darkest,-2
dejects,-2
can't stand,-3
rejoiced,4
affronted,-1
aggravates,-2
appeased,2
assfucking,-4
backed,1
bizarre,-2
brightness,1
childish,-2
cocksucker,-5
consolable,2
cry,-1
defeated,-2
hooligans,-2
hug,2
humor,2
idiotic,-3
aching,-2
acquitting,2
aggressions,-2
indifference,-2
angry,-3
interested,2
approves,2
jesus,1
await,-1
lag,-1
belittled,-2
lonesome,-2
block,-1
marvels,3
bullshit,-4
mischief,-1
chagrin,-2
mumpish,-2
collapsing,-2
offending,-2
clarity,2
nosey,-2
committing,1
oversells,-2
contemptuous,-2
persecute,-2
courteous,2
playful,2
critic,-2
polluters,-2
dear,2
promise,1
captivated,3
misunderstanding,-2
deferring,-1
protests,-2
adore,3
improves,2
alarmists,-2
infuriating,-2
apology,-1
irate,-3
astounds,3
kill,-3
bamboozles,-2
legally,1
bitch,-5
loyalty,3
bothers,-2
mindless,-2
cheats,-3
nervous,-2
conflict,-2
parley,-1
cute,2
pray,1
absorbed,1
abduction,-2
accuses,-2
accept,1
rebellion,-2
regretted,-2
disguise,-1
disrespect,-2
dodgy,-2
dumps,-1
enrages,-2
exempt,-1
fascist,-2
feeble,-2
ftw,3
funnier,4
hating,-3
hooligan,-2
failures,-2
grateful,3
grey,-1
wrathful,-3
disappoint,-2
disappointments,-2
disturb,-2
dreadful,-3
embarrassing,-2
errors,-2
explorations,1
flu,-2
fraudster,-4
glamourous,3
haplessness,-2
heroes,2
provoke,-1
questioning,-1
rainy,-1
reached,1
woo,3
worrying,-3
alarmist,-2
innovation,1
anger,-3
insults,-2
appreciate,2
jackasses,-4
awards,3
lame,-2
best,3
loathes,-3
bliss,3
madness,-3
burdening,-2
misgiving,-2
charged,-3
motivating,2
cocky,-2
offends,-2
commitment,2
overlooked,-1
controversial,-2
perfectly,3
crap,-3
piqued,-2
curse,-1
praying,1
defects,-3
prosperous,3
wtf,-4
inaction,-2
aggression,-2
indoctrinating,-2
apologise,-1
intricate,2
attract,1
jubilant,3
banned,-2
liar,-3
bless,2
loved,3
boring,-3
menaced,-2
cashing in,-2
moaned,-2
chastising,-3
negative,-2
choke,-2
not good,-2
condemns,-2
panics,-3
criminal,-3
pollutes,-2
dauntless,2
proactive,2
wealthy,2
wavering,-1
wishes,1
winning,4
destructive,-3
dick,-4
amazes,2
angers,-3
appreciated,2
awarded,3
battles,-1
blesses,2
cancel,-1
celebrates,3
cocksuckers,-5
commend,2
conspiracy,-3
cool stuff,3
crying,-2
defect,-3
brilliant,4
improved,2
zealous,2
agonizes,-3
apologised,-1
attacks,-1
bankster,-3
betray,-3
boosts,1
chastises,-3
chilling,-1
condemn,-2
cried,-2
darkness,-1
delights,3
denounce,-2
deride,-2
despairs,-3
destroying,-3
diamond,1
retard,-2
rigged,-1
scream,-2
share,1
sleeplessness,-2
spirited,2
subversive,-2
threats,-2
totalitarianism,-2
validated,1
vulnerable,-2
strike,-1
trusted,2
underestimated,-1
impressive,3
zealots,-2
resolute,2
rotflol,4
scumbag,-4
significance,1
sobering,1
steadfast,2
stingy,-2
supporter,1
tension,-1
trickery,-2
unsettled,-1
vindicates,2
delayed,-1
denies,-2
depressing,-2
despairing,-3
reject,-1
regret,-2
alas,-1
apathetic,-3
ass,-4
avoided,-1
bereaves,-2
boosted,1
care,2
chic,2
collision,-2
conciliates,2
creative,2
convivial,2
cynicism,-2
dejecting,-2
bamboozle,-2
advantage,2
aggressive,-2
applauded,2
attraction,2
blames,-2
brightest,2
bully,-2
chastise,-3
cleaner,2
consents,2
criticizes,-2
decisive,1
punished,-2
quaking,-2
rapist,-4
rash,-2
admonished,-2
adequate,1
disguises,-1
revive,2
disparaging,-2
robing,-2
does not work,-3
scoop,3
elation,3
shocking,-2
ensure,1
smear,-2
exaggerate,-2
speculative,-2
faggots,-3
strange,-1
fear,-2
suicidal,-2
fraudulence,-4
threatening,-2
fuckers,-4
torturing,-4
hardier,2
vague,-2
hesitant,-2
vociferous,-1
gracious,3
unbiased,2
greenwashing,-3
unemployment,-2
aggravated,-2
relieves,1
disaster,-2
responsible,2
distorting,-2
safely,1
dud,-2
sentence,-2
endorsed,2
singleminded,-2
euphoria,3
solving,1
exhilarating,3
starves,-2
fantastic,4
struggled,-2
felonies,-3
suspect,-1
focused,2
tender,2
gag,-2
tremulous,-2
growing,1
unsatisfied,-2
haunted,-2
vindicate,2
abandons,-2
abandon,-2
abuses,-3
abuse,-3
ignores,-1
imperfect,-2
injury,-2
inspire,2
jaunty,2
kudos,3
litigious,-2
lurk,-1
misbehaved,-2
mope,-1
obstacles,-2
outmaneuvered,-2
peace,2
pessimism,-2
powerful,2
prospects,1
rejects,-1
affected,-1
indignation,-2
interruption,-2
jolly,2
leaked,-1
looses,-3
meaningful,2
mistakes,-2
myth,-1
no,-1
overstatements,-2
poison,-2
preventing,-1
hugs,2
horrific,-3
ignorant,-2
hysteria,-3
acquitted,2
admonish,-2
discards,-1
resolves,2
disregard,-2
robed,-2
doubt,-1
scary,-2
ease,2
shocked,-2
enlighten,2
smartest,2
excellent,3
sparkling,3
fakes,-3
struggle,-2
fatigues,-2
suffers,-2
frenzy,-3
thwarts,-2
fuckhead,-4
tortures,-4
guarantee,1
unsure,-1
hides,-1
visionary,3
extends,1
straight,1
glory,2
unbelieving,-1
greatest,3
uneasy,-2
adventure,2
inconvenience,-2
disillusioned,-2
revenge,-2
distract,-2
saddened,-2
dreary,-2
self-deluded,-2
emptiness,-1
slashed,-2
entrusted,2
solves,1
expands,1
starved,-2
festive,2
survivor,2
foolish,-2
terror,-3
gain,2
trembling,-2
harm,-2
vested,1
heartbreaking,-3
violating,-2
abducted,-2
absolving,2
abusive,-3
accused,-2
detached,-1
die,-3
indoctrinated,-2
agreement,1
insulted,-2
annoyance,-2
irritated,-3
assassination,-3
lackadaisical,-2
axe,-1
livid,-2
belittle,-2
made-up,-1
blockbuster,3
misbehaves,-2
calms,2
moping,-1
chagrined,-2
obstinate,-2
collide,-1
outrage,-3
compassionate,2
pessimistic,-2
courtesy,2
peaceful,2
contemptuously,-2
poisoned,-2
criticism,-2
prosecute,-1
defiant,-1
mistaking,-2
celebrate,3
dirty,-2
rescued,2
innovate,1
amused,3
interrupting,-2
applauding,2
joy,3
attractions,2
legal,1
bamboozled,-2
losing,-3
blaming,-2
melancholy,-2
bothersome,-2
n00b,-2
cheer,2
no fun,-3
clash,-2
overweight,-1
conflicting,-2
praise,3
cutting,-1
prick,-5
death,-2
delighted,3
deny,-2
derailed,-2
desperately,-3
achievable,1
admit,-1
inhibit,-1
insignificant,-2
jealous,-2
kinder,2
limits,-1
manipulated,-1
misbehave,-2
moody,-1
oks,2
overreacted,-2
passively,-1
persecuting,-2
prblm,-2
protected,1
mistaken,-2
dilemma,-1
repulse,-1
indifferent,-2
interrogated,-2
jocular,2
lazy,-1
looms,-1
merry,3
murders,-2
notorious,-2
paradox,-1
poorer,-2
problems,-2
abandoned,-2
absolve,2
abused,-3
accusation,-2
reassures,1
refusing,-2
retreat,-1
riot,-2
scornful,-2
shares,1
slicker,2
spammer,-3
stolen,-2
success,2
thanks,2
toothless,-2
upsetting,-2
vivacious,3
undermine,-2
ugly,-3
wowow,4
disadvantaged,-2
resolved,2
ruins,-2
sedition,-2
silencing,-1
solid,2
stalled,-2
strikers,-2
supporters,1
swindle,-3
traumatic,-3
unjust,-2
victimize,-3
racist,-3
puzzled,-2
reaching,1
rapturous,4
recommended,2
rejected,-1
agonizing,-3
inflamed,-2
animosity,-2
insult,-2
appreciation,2
jewel,1
avid,2
launched,1
beautiful,3
lmfao,4
blithe,2
mad,-3
careful,2
mongering,-2
chance,2
motherfucker,-5
colliding,-1
offend,-2
competent,2
outreach,2
coward,-2
phobic,-2
contender,-1
penalty,-2
criticized,-2
pollute,-2
degrade,-2
prosecutes,-1
relieved,2
dire,-3
alarmed,-2
insensitive,-2
apologized,-1
ironic,-1
asshole,-4
killed,-3
badly,-3
lenient,1
better,2
luck,3
bothered,-2
mediocrity,-3
bummer,-2
misrepresentation,-2
cheerful,2
nasty,-3
clean,2
noisy,-1
conflicts,-2
pain,-2
cynical,-2
praised,3
debt,-2
prison,-2
provokes,-1
racists,-3
ranter,-3
reassure,1
ache,-2
acrimonious,-3
agrees,1
infected,-2
anticipation,1
interest,1
assassinations,-3
jerk,-3
axed,-1
laughs,1
benefitting,2
lonely,-2
blind,-1
marvel,3
broke,-1
misread,-1
censor,-2
mourning,-2
collapse,-2
opportunities,2
commended,2
oversell,-2
contagions,-2
perpetrators,-2
costly,-2
pitied,-1
cunt,-5
pressure,-1
defenders,2
protesters,-2
cancelling,-1
mocking,-2
advanced,1
relieve,1
amazing,4
insanity,-2
appeases,2
invulnerable,2
assets,2
keen,1
battle,-1
lighthearted,1
blah,-2
loyal,3
breakthrough,3
messing up,-2
cheery,3
neglects,-2
chokes,-2
nuts,-3
condemnation,-2
pardoning,2
cries,-2
positive,2
deadlock,-2
prominent,2
absentees,-1
abilities,2
accomplishes,2
accidentally,-2
worse,-3
woow,4
increased,1
agree,1
inspired,2
anxiety,-2
irresponsible,2
ashame,-2
kiss,2
awesome,4
limited,-1
bereave,-2
lugubrious,-2
boldly,2
missing,-2
catastrophe,-3
monopolizes,-2
charm,3
obsolete,-2
comedy,1
optionless,-2
comprehensive,2
pissing,-3
crazier,-2
pathetic,-2
convince,1
postponing,-1
damnit,-4
promotes,1
dehumanizing,-2
zealot,-2
incapacitated,-2
injured,-2
ambitious,2
interrupts,-2
appeasing,2
jovial,2
attracted,1
leak,-1
bargain,2
looming,-1
blame,-2
matter,1
breathtaking,5
mirthful,3
calm,2
neglected,-2
cherished,2
niggas,-5
clever,2
oversimplify,-2
congratulation,2
pleasure,3
crush,-1
prevent,-1
deceiving,-3
warns,-2
wasted,-2
widowed,-1
win,4
woohoo,3
worst,-3
infringement,-2
integrity,2
irrational,-1
kills,-3
lobby,-2
masterpiece,4
miss,-2
murder,-2
oppressive,-2
oversimplification,-2
persecuted,-2
pleasant,3
pretending,-1
proud,2
monopolize,-2
adores,3
incompetent,-2
increase,1
invincible,2
joke,2
lawsuit,-2
lovely,3
miracle,4
nervously,-2
obnoxious,-3
passionate,2
postpone,-1
promises,1
warmth,2
weary,-2
welcomes,2
wishing,1
impose,-1
important,2
discard,-1
restore,1
distort,-2
roflcopter,4
doom,-2
screamed,-2
dupe,-2
short-sightedness,-2
enjoy,2
smiling,2
exclude,-1
spiteful,-2
farce,-1
stuck,-2
fearful,-2
sulky,-2
frustrate,-2
thwart,-2
fuming,-2
touted,-2
harshest,-2
validating,1
honored,2
walkouts,-2
grand,3
unconcerned,-2
gray,-1
unfair,-2
impresses,3
advantages,2
disparaged,-2
rewarding,2
dodging,-2
sarcastic,-2
dumped,-2
serene,2
embarrassment,-2
skeptics,-2
enthral,3
soothe,3
exhilarates,3
steals,-2
fail,-2
strengthen,2
felony,-3
suspend,-1
forgotten,-1
terribly,-3
ghost,-1
triumphant,4
hahaha,3
unstable,-2
helpful,2
violate,-2
horrendous,-3
hostile,-2
hurts,-2
hysterics,-3
imposing,-1
importance,2
rich,2
risks,-2
scared,-2
shortages,-2
slut,-5
sprightly,2
stunning,4
suspicious,-2
thwarting,-2
touts,-2
verdicts,-1
want,1
unfulfilled,-2
unconvinced,-1
rescue,2
restores,1
sadden,-2
self-confident,2
slash,-2
solutions,1
stereotyped,-2
strengthening,2
sunshine,2
terrified,-3
troubled,-2
unsupported,-2
vile,-3
hopes,2
horrified,-3
hurt,-2
hysterical,-3
worthless,-2
worsening,-3
disgust,-3
disruptive,-2
dragged,-1
enslaved,-2
excuse,-1
fallen,-2
flops,-2
frightening,-3
funky,2
harms,-2
honouring,2
empty,-1
greets,1
grants,1
dirtier,-2
disastrous,-3
dithering,-2
dumbass,-3
easy,1
esteemed,2
exploration,1
exultant,3
fed up,-3
forget,-1
glamorous,3
gun,-1
helps,2
waste,-1
weakness,-2
willingness,2
winwin,3
worn,-1
worth,2
reward,2
rigorous,3
scandalous,-3
shoot,-1
slashing,-2
sorrow,-2
stimulated,1
suave,2
terrorized,-3
timorous,-2
unwanted,-2
violent,-3
underestimate,-1
trust,1
adopt,1
inadequate,-2
restful,2
ruined,-2
sentences,-2
skeptical,-2
snubbing,-2
stabbed,-2
stressor,-2
superior,2
swears,-2
tranquil,2
unified,1
vexing,-2
warnings,-3
weep,-2
wicked,-2
withdrawal,-3
wonderful,4
worsened,-3
amuse,3
annoy,-2
approval,2
awkward,-2
beautify,3
boost,1
calming,2
charmless,-3
cherishing,2
comfortable,2
conciliated,2
crazy,-2
convinces,1
daredevil,2
dejected,-2
cautious,-1
afraid,-2
incapable,-2
agreed,1
apologizes,-1
astounding,3
bastard,-5
biased,-2
bright,1
clueless,-2
consent,2
crushes,-1
deceit,-3
weeping,-2
weak,-2
woebegone,-2
wins,4
ill,-2
immortal,2
influential,2
agonize,-3
intelligent,2
annoys,-2
jewels,1
arrest,-2
lawl,3
awaits,-1
lobbying,-2
benefit,2
lunatic,-3
bloody,-3
mistake,-2
careless,-2
monopolizing,-2
chaos,-2
obstacle,-2
collisions,-2
optimistic,2
complacent,-2
pesky,-2
coziness,2
pay,-1
contentious,-2
postpones,-1
damage,-3
promoting,1
degrades,-2
mirthfully,3
burden,-2
improvement,2
adventures,2
inquisitive,2
amaze,2
invite,1
appalling,-2
join,1
attacked,-1
likes,2
banish,-1
loving,2
bitter,-2
mess,-2
boycotts,-2
neglect,-2
cheerless,-2
nigger,-5
clear,1
oversimplifies,-2
confused,-2
pleased,3
criticizing,-2
prevented,-1
deceitful,-3
huckster,-2
horrible,-3
idiot,-3
hypocritical,-2
impress,3
impatient,-2
restriction,-2
dislike,-2
right direction,3
disregards,-2
scandal,-3
douchebag,-3
short-sighted,-2
effectively,2
spam,-2
excitement,3
strangled,-2
faggot,-3
suing,-2
favors,2
terrorizes,-3
frisky,2
tolerant,2
fulfilled,2
upsets,-2
harsh,-2
virtuous,2
honest,2
snubbed,-2
enraged,-2
unclear,-1
grace,1
unequaled,2
greenwashers,-3
inconvenient,-2
afflicted,-1
resigned,-1
discontented,-2
ruin,-2
distrustful,-3
sentencing,-2
drunk,-2
skepticism,-2
encourages,2
sore,-1
error,-2
stall,-2
expelling,-2
struggling,-2
fan,3
support,2
firing,-2
sweet,2
forgive,1
trauma,-3
generous,2
united,1
hacked,-1
vibrant,3
hell,-4
hope,2
hooliganism,-2
humorous,2
humiliation,-3
destroy,-3
devastate,-2
disheartened,-2
disputed,-2
downcast,-2
eager,2
enjoying,2
exaggerated,-2
extend,1
fatigued,-2
freedom,2
fuckface,-4
hardship,-2
hoax,-2
glorious,2
greater,3
impressed,3
youthful,2
discarded,-1
distracted,-2
dream,1
emergency,-2
enthusiastic,3
exonerate,2
fake,-3
fervid,2
fool,-2
gagged,-2
growth,2
havoc,-2
denounces,-2
demoralized,-2
desperate,-3
desire,1
refuse,-2
reckless,-2
disappoints,-2
respected,2
disputes,-2
rotfl,4
dont like,-2
scold,-2
dysfunction,-2
shitty,-3
engages,1
snub,-2
eviction,-1
sparkle,3
fatalities,-3
suffer,-2
fraudulent,-4
threat,-2
fucker,-4
torture,-4
hard,-1
usefulness,2
hesitate,-2
vitamin,1
exposed,-1
stops,-1
fair,2
strongest,2
greet,1
undeserving,-2
gloom,-1
unaware,-2
remorse,-2
disappear,-1
disgusting,-3
revered,2
distraction,-2
safe,1
dreams,1
selfishness,-3
embrace,1
sinful,-3
enterprising,1
solve,1
exhilarated,3
startled,-2
fitness,1
survived,2
fond,2
sympathy,2
futile,2
treasure,2
gross,-2
unmotivated,-2
haunting,1
victims,-3
punish,-2
punishes,-2
rape,-4
rapture,2
worshiped,3
worsens,-3
resolve,2
discredited,-2
rotflmfao,4
disruptions,-2
scapegoat,-2
drag,-1
shameful,-2
elegantly,2
slick,2
enslave,-2
spiritless,-2
exclusion,-1
sulking,-2
fearless,2
thrilled,5
frustrates,-2
tout,-2
funeral,-1
validates,1
hated,-3
walkout,-2
honour,2
strength,2
failing,-2
uncomfortable,-2
granted,1
underestimates,-1
greeting,1
wowww,4
improving,2
rig,-1
disorganized,-2
scam,-2
disturbs,-2
shame,-2
dumb,-3
sigh,-2
endorses,2
solemn,-1
escaping,-1
stabs,-2
exploiting,-2
stubborn,-2
fascinated,3
supported,2
flees,-1
terrible,-3
frantic,-1
triumph,4
gift,2
unsophisticated,-2
hail,2
vindicating,2
helpless,-2
wasting,-2
wealth,3
winner,4
wish,1
wow,4
worsen,-3
disgusted,-3
revives,2
disparages,-2
robs,-2
downhearted,-2
scorn,-2
duped,-2
shocks,-2
engrossed,1
smile,2
exciting,3
spirit,1
exposing,-1
strangely,-1
fatigue,-2
suicide,-2
frowning,-1
threatens,-2
fulfills,2
totalitarian,-2
harsher,-2
validate,1
honor,2
vulnerability,-2
gleeful,3
uncertain,-1
adorable,3
incompetence,-2
disbelieve,-2
responsive,2
distorted,-2
safety,1
dread,-2
sentenced,-2
embittered,-2
skeptic,-2
entertaining,2
somber,-2
expels,-2
starving,-2
faithful,3
struggles,-2
fervent,2
suspected,-1
forgiving,1
tense,-2
genial,3
tricked,-2
grave,-2
unequal,-1
haha,3
unsecured,-2
help,2
vindicated,2
warn,-2
warm,1
whimsical,1
welcomed,2
active,1
acquit,2
infatuated,2
agonising,-3
inspires,2
apathy,-3
irritate,-3
ardent,1
lack,-2
avoids,-1
lively,2
bereaving,-2
lurking,-1
blocked,-1
miserable,-3
bullying,-2
misunderstood,-2
carefree,1
motivate,1
challenge,-1
offender,-2
collides,-1
overjoyed,4
compelled,1
pileup,-1
cover-up,-3
perfect,3
contend,-1
polluter,-2
criticize,-2
prospect,1
deficit,-2
affectionate,3
rejoicing,4
infuriate,-2
alone,-2
intimidate,-2
appalled,-2
jokes,2
attack,-1
leave,-1
ban,-2
loser,-3
big,1
meaningless,-2
boycott,-2
naïve,-2
cheered,2
noob,-2
classy,3
panic,-3
conflictive,-2
praising,3
cynic,-2
prisoners,-2
debonair,2
abhor,-3
abhorrent,-3
accepting,1
accident,-2
recession,-2
recommends,2
resigning,-1
discarding,-1
rigorously,3
disregarded,-2
sceptical,-2
doubtful,-1
shock,-2
eery,-2
smarter,2
ennui,-2
spamming,-2
excite,3
strong,2
falsify,-3
suck,-3
favorited,2
thoughtful,2
frustration,-2
tops,2
fuking,-4
unloved,-2
hapless,-2
visions,1
hide,-1
undermines,-2
greenwash,-3
unappreciated,-2
good,3
rejoices,4
aggravate,-2
restricts,-2
dishonest,-2
sadly,-2
distressed,-2
selfish,-3
drop,-1
sincerity,2
enemy,-2
solved,1
envying,-1
stamina,2
expel,-2
stopped,-1
fad,-2
supportive,2
fire,-2
swindling,-3
frauds,-4
treason,-3
gallantly,3
uptight,-2
hates,-3
victimized,-3
hero,2
rage,-2
provoking,-1
reassured,1
ranters,-3
destroys,-3
detain,-2
disasters,-2
resigns,-1
dispute,-2
romance,2
doubting,-1
screams,-2
eerie,-2
shithead,-4
enlightens,2
sneaky,-1
exaggerating,-2
squelched,-1
fatiguing,-2
super,3
fucking,-4
tragedy,-2
guilt,-3
unresearched,-2
faking,-3
stronger,2
fresh,1
threatened,-2
greed,-3
unhappy,-2
hiding,-1
war,-2
dipshit,-3
reliant,2
disguising,-1
retained,-1
distresses,-2
save,2
drown,-2
sexy,3
encourage,2
sincerely,2
envy,-1
soothing,3
exonerates,2
stifled,-1
exuberant,4
stopping,-1
fiasco,-3
swear,-2
fools,-2
tears,-2
gained,2
troubles,-2
glum,-2
uncredited,-1
hardy,2
uselessness,-2
healthy,2
violates,-2
denying,-2
delighting,3
despondent,-3
derails,-2
illnesses,-2
imposes,-1
dismal,-2
displeased,-2
dolorous,-2
elated,3
engage,1
euphoric,4
fascists,-2
fraudsters,-4
fuck,-4
happiness,3
heroic,3
expose,-1
gratification,2
glee,3
relaxed,2
adventurous,2
discord,-2
distorts,-2
dubious,-2
endorse,2
ensuring,1
exhausted,-2
fainthearted,-2
feeling,1
flustered,-2
funny,4
grief,-2
haunt,-1
hopeless,-2
huge,1
hunger,-2
ignorance,-2
imbecile,-3
impotent,-2
resolving,2
disgrace,-2
robber,-2
disquiet,-2
scare,-2
drags,-1
shit,-4
embarrassed,-2
sluggish,-2
enlightening,2
sparkles,3
exasperated,2
successful,3
favor,2
thorny,-2
friendly,2
top,2
fucktard,-4
undermined,-2
greedy,-2
unlovable,-2
guilty,-3
visioning,1
highlight,2
strikes,-1
fascinating,3
inability,-2
adored,3
revengeful,-2
disparage,-2
ruining,-2
dizzy,-1
seduced,-1
dump,-1
sincere,2
enchanted,2
solution,1
ethical,2
starve,-2
exonerating,2
